,bcc,xdp-mptm-main,bpf-filter-master,cilium,ebpf-ratelimiter-main,ingress-node-firewall-master,katran,ebpf-samples,bcc_count,xdp-mptm-main_count,bpf-filter-master_count,cilium_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,katran_count,ebpf-samples_count
sock6_sendmsg,[],[],[],"['sk_lookup_tcp', 'get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'sk_lookup_udp', 'map_lookup_elem', 'sk_release', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
hc_encap_gue,[],[],[],[],[],[],['bpf_map_lookup_elem'],[],0,0,0,0,0,0,1,0
__le16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_xdp_entry,[],[],[],"['map_lookup_elem', 'tail_call', 'CTX_ACT_OK']",[],[],[],[],0,0,0,3,0,0,0,0
hello,['bpf_trace_printk'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
xdp_val,[],[],[],[],[],[],"['XDP_PASS', 'bpf_tail_call']",[],0,0,0,0,0,0,2,0
sock4_sendmsg,[],[],[],"['sk_lookup_tcp', 'get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'sk_lookup_udp', 'map_lookup_elem', 'sk_release', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
tail_handle_arp,[],[],[],"['CTX_ACT_OK', 'XDP_TX', 'map_lookup_elem', 'redirect', 'map_update_elem']",[],[],[],[],0,0,0,5,0,0,0,0
xdp_prog_simple,[],[],[],[],[],[],"['bpf_map_update_elem', 'bpf_get_smp_processor_id', 'bpf_csum_diff', 'XDP_TX', 'XDP_PASS', 'bpf_ktime_get_ns', 'bpf_map_lookup_elem', 'XDP_DROP', 'bpf_tail_call']",[],0,0,0,0,0,0,9,0
tail_handle_ipv6_from_host,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'map_delete_elem', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'TC_ACT_REDIRECT', 'map_update_elem']",[],[],[],[],0,0,0,13,0,0,0,0
test_packet_access,[],[],[],[],[],[],[],['get_prandom_u32'],0,0,0,0,0,0,0,1
handle_policy_egress,[],[],[],"['map_lookup_elem', 'map_update_elem', 'tail_call']",[],[],[],[],0,0,0,3,0,0,0,0
sock6_post_bind,[],[],[],"['map_lookup_elem', 'get_cgroup_classid']",[],[],[],[],0,0,0,2,0,0,0,0
handle_xgress,[],[],[],"['map_lookup_elem', 'map_update_elem', 'tail_call', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
tail_nodeport_ipv6_dsr,[],[],[],"['XDP_TX', 'xdp_adjust_tail', 'skb_change_head', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,10,0,0,0,0
test_repro,[],[],[],[],[],[],[],['bpf_map_lookup_elem'],0,0,0,0,0,0,0,1
reallocate_invalidates,[],[],[],[],[],[],[],['bpf_skb_change_head'],0,0,0,0,0,0,0,1
tail_lb_ipv4,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,13,0,0,0,0
__swab16s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_netdev,[],[],[],"['CTX_ACT_OK', 'XDP_TX', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
csum_diff,[],[],[],['csum_diff'],[],[],[],[],0,0,0,1,0,0,0,0
pktcntr,[],[],[],[],[],[],"['XDP_PASS', 'bpf_map_lookup_elem']",[],0,0,0,0,0,0,2,0
ipv6_addr_in_net,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_getpeername,[],[],[],"['get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'map_lookup_elem', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,6,0,0,0,0
__cpu_to_be32p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_tail_call_static,[],[],[],[],[],['bpf_tail_call'],[],[],0,0,0,0,0,1,0,0
rol32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_ipv4_dsr,[],[],[],"['XDP_TX', 'xdp_adjust_tail', 'skb_change_head', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,10,0,0,0,0
ipv6_load_paylen,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memmove,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_le16p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_redirect,[],"['bpf_redirect', 'bpf_redirect_map']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
encap_v6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahw32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
caller,[],[],[],[],[],[],[],['bpf_tail_call'],0,0,0,0,0,0,0,1
__bpf_no_builtin_memcmp,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
combine_ports,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_connect,[],[],[],"['sk_lookup_tcp', 'get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'sk_lookup_udp', 'map_lookup_elem', 'sk_release', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
sock4_post_bind,[],[],[],"['map_lookup_elem', 'get_cgroup_classid']",[],[],[],[],0,0,0,2,0,0,0,0
bpf_redir_proxy,[],[],[],"['map_lookup_elem', 'msg_redirect_hash', 'CTX_ACT_OK']",[],[],[],[],0,0,0,3,0,0,0,0
tail_handle_ipv4_from_host,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'map_delete_elem', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'TC_ACT_REDIRECT', 'map_update_elem']",[],[],[],[],0,0,0,14,0,0,0,0
tail_ipv4_host_policy_ingress,[],[],[],"['CTX_ACT_OK', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'map_update_elem']",[],[],[],[],0,0,0,5,0,0,0,0
send_signal,[],[],[],['send_signal'],[],[],[],[],0,0,0,1,0,0,0,0
ipv4_extract_tuple,[],[],[],['CTX_ACT_OK'],[],[],[],[],0,0,0,1,0,0,0,0
from_overlay,[],[],[],"['map_lookup_elem', 'map_update_elem', 'tail_call', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
__cpu_to_be64p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ingress_node_firewall_process,[],[],[],[],[],"['bpf_map_update_elem', 'XDP_PASS', 'bpf_map_lookup_elem', 'bpf_perf_event_output', 'XDP_DROP']",[],[],0,0,0,0,0,5,0,0
hash_64,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
_send_drop_notify,[],[],[],"['map_lookup_elem', 'map_update_elem', 'tail_call']",[],[],[],[],0,0,0,3,0,0,0,0
tail_rev_nodeport_lb4,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'skb_change_head', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,13,0,0,0,0
mptm_encap,[],"['bpf_redirect', 'bpf_xdp_adjust_head', 'XDP_PASS', 'bpf_map_lookup_elem', 'XDP_ABORTED', 'bpf_redirect_map', 'XDP_DROP']",[],[],[],[],[],[],0,7,0,0,0,0,0,0
tail_handle_ipv6_cont,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,12,0,0,0,0
__fswab64,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv4_l4_csum,[],[],[],[],[],[],['bpf_csum_diff'],[],0,0,0,0,0,0,1,0
from_network,[],[],[],"['CTX_ACT_OK', 'XDP_TX', 'redirect', 'map_lookup_elem', 'CTX_ACT_REDIRECT', 'map_update_elem']",[],[],[],[],0,0,0,6,0,0,0,0
tail_srv6_decap,[],[],[],"['map_lookup_elem', 'map_update_elem', 'xdp_adjust_head', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
ct_delete4,[],[],[],"['map_delete_elem', 'map_lookup_elem']",[],[],[],[],0,0,0,2,0,0,0,0
ipv6_addr_is_mapped,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_record_route,[],[],[],[],[],[],['bpf_get_smp_processor_id'],[],0,0,0,0,0,0,1,0
handle_policy,[],[],[],['map_lookup_elem'],[],[],[],[],0,0,0,1,0,0,0,0
__bpf_no_builtin_memcpy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_load_bytes,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
encap_v4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_nat_ipv4,[],[],[],"['get_prandom_u32', 'CTX_ACT_OK', 'l4_csum_replace', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'skb_change_head', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,15,0,0,0,0
ct_delete6,[],[],[],"['map_delete_elem', 'map_lookup_elem']",[],[],[],[],0,0,0,2,0,0,0,0
sock6_pre_bind,[],[],[],"['get_cgroup_classid', 'map_update_elem', 'get_socket_cookie']",[],[],[],[],0,0,0,3,0,0,0,0
sock4_pre_bind,[],[],[],"['get_cgroup_classid', 'map_update_elem', 'get_socket_cookie']",[],[],[],[],0,0,0,3,0,0,0,0
mptm_decap,[],"['bpf_xdp_adjust_head', 'bpf_redirect', 'XDP_PASS', 'bpf_map_lookup_elem', 'bpf_redirect_map', 'XDP_DROP']",[],[],[],[],[],[],0,6,0,0,0,0,0,0
sock6_recvmsg,[],[],[],"['get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'map_lookup_elem', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,6,0,0,0,0
__cpu_to_be16p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswahb32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_cont,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,13,0,0,0,0
test,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le32_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_encap_v6,[],[],[],[],[],[],"['bpf_map_lookup_elem', 'bpf_csum_diff']",[],0,0,0,0,0,0,2,0
sock4_connect,[],[],[],"['sk_lookup_tcp', 'get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'sk_lookup_udp', 'map_lookup_elem', 'sk_release', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
xdp_store_bytes,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_load_nexthdr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
to_netdev,[],[],[],"['CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'get_socket_cookie', 'map_lookup_elem', 'redirect', 'tail_call', 'map_update_elem', 'ktime_get_ns']",[],[],[],[],0,0,0,10,0,0,0,0
__cpu_to_le64p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
TRACEPOINT_PROBE,['bpf_trace_printk'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_handle_nat_fwd_ipv6,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'get_prandom_u32', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'csum_diff', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
__send_drop_notify,[],[],[],['map_lookup_elem'],[],[],[],[],0,0,0,1,0,0,0,0
handle_lxc_traffic,[],[],[],"['CTX_ACT_OK', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'tail_call', 'map_update_elem']",[],[],[],[],0,0,0,6,0,0,0,0
__swab32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
memmove,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswab16,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
assign_socket,[],[],[],"['sk_lookup_udp', 'skc_lookup_tcp', 'sk_release', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
xdp_root,[],[],[],[],[],[],"['XDP_PASS', 'bpf_tail_call']",[],0,0,0,0,0,0,2,0
balancer_ingress,[],[],[],[],[],[],"['bpf_map_update_elem', 'bpf_get_smp_processor_id', 'bpf_csum_diff', 'XDP_TX', 'XDP_PASS', 'bpf_ktime_get_ns', 'bpf_map_lookup_elem', 'XDP_DROP', 'bpf_tail_call']",[],0,0,0,0,0,0,9,0
foo,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swab64s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le64_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memset,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv6_policy,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'map_update_elem']",[],[],[],[],0,0,0,10,0,0,0,0
ct4_cilium_dbg_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
submit_event,[],[],[],[],[],[],"['bpf_perf_event_output', 'bpf_map_lookup_elem']",[],0,0,0,0,0,0,2,0
l3_csum_replace,[],[],[],['l3_csum_replace'],[],[],[],[],0,0,0,1,0,0,0,0
tail_ipv6_host_policy_ingress,[],[],[],"['get_smp_processor_id', 'map_lookup_elem', 'send_signal', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
tail_ipv4_policy,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'map_update_elem']",[],[],[],[],0,0,0,10,0,0,0,0
__be16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
jhash,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_lb_ipv6,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,12,0,0,0,0
handle_to_container,[],[],[],"['map_lookup_elem', 'map_update_elem', 'tail_call', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
tail_ipv6_to_endpoint,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'map_update_elem']",[],[],[],[],0,0,0,11,0,0,0,0
tail_icmp6_send_time_exceeded,[],[],[],"['XDP_TX', 'redirect', 'map_lookup_elem', 'csum_diff']",[],[],[],[],0,0,0,4,0,0,0,0
tail_icmp6_handle_ns,[],[],[],"['XDP_TX', 'redirect', 'map_lookup_elem', 'csum_diff']",[],[],[],[],0,0,0,4,0,0,0,0
sock4_recvmsg,[],[],[],"['get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'map_lookup_elem', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,6,0,0,0,0
main,[],[],[],[],"['bpf_map_update_elem', 'strtol']",[],[],[],0,0,0,0,2,0,0,0
tail_rev_nodeport_lb6,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'skb_change_head', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,14,0,0,0,0
tail_nodeport_nat_ipv6,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'get_prandom_u32', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'skb_change_head', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,16,0,0,0,0
tail_handle_nat_fwd_ipv4,[],[],[],"['get_prandom_u32', 'CTX_ACT_OK', 'l4_csum_replace', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'csum_diff', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
custom_hook,[],[],[],"['map_lookup_elem', 'map_update_elem']",[],[],[],[],0,0,0,2,0,0,0,0
ipv6_extract_tuple,[],[],[],['CTX_ACT_OK'],[],[],[],[],0,0,0,1,0,0,0,0
to_host,[],[],[],"['CTX_ACT_OK', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'map_update_elem']",[],[],[],[],0,0,0,5,0,0,0,0
jhash_1word,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahb32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_le32p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_encap_v4,[],[],[],[],[],[],"['bpf_map_lookup_elem', 'bpf_csum_diff']",[],0,0,0,0,0,0,2,0
tail_ipv4_to_endpoint,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'get_smp_processor_id', 'XDP_TX', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'map_update_elem']",[],[],[],[],0,0,0,11,0,0,0,0
tail_handle_ipv4_from_netdev,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'map_delete_elem', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'xdp_adjust_head', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'TC_ACT_REDIRECT', 'map_update_elem']",[],[],[],[],0,0,0,14,0,0,0,0
sock4_getpeername,[],[],[],"['get_cgroup_classid', 'get_prandom_u32', 'get_socket_cookie', 'map_lookup_elem', 'map_delete_elem', 'map_update_elem']",[],[],[],[],0,0,0,6,0,0,0,0
__be32_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_pass,[],['XDP_PASS'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
tail_handle_ipv6_from_netdev,[],[],[],"['l3_csum_replace', 'l4_csum_replace', 'CTX_ACT_OK', 'map_delete_elem', 'XDP_TX', 'get_smp_processor_id', 'send_signal', 'map_lookup_elem', 'redirect', 'tail_call', 'csum_diff', 'TC_ACT_REDIRECT', 'map_update_elem']",[],[],[],[],0,0,0,13,0,0,0,0
to_overlay,[],[],[],"['l4_csum_replace', 'CTX_ACT_OK', 'map_lookup_elem', 'csum_diff', 'map_update_elem', 'ktime_get_ns']",[],[],[],[],0,0,0,6,0,0,0,0
read_write_packet_start,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
RAW_TRACEPOINT_PROBE,['bpf_ktime_get_ns'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
func,[],[],[],[],[],[],[],['bpf_map_update_elem'],0,0,0,0,0,0,0,1
__be64_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_reply,[],[],[],"['map_lookup_elem', 'xdp_adjust_head', 'CTX_ACT_OK']",[],[],[],[],0,0,0,3,0,0,0,0
l4_csum_replace,[],[],[],['l4_csum_replace'],[],[],[],[],0,0,0,1,0,0,0,0
bpf_filter,[],[],"['bpf_trace_printk', 'TC_ACT_OK', 'bpf_map_lookup_elem', 'TC_ACT_SHOT']",[],[],[],[],[],0,0,4,0,0,0,0,0
tail_icmp6_send_echo_reply,[],[],[],"['XDP_TX', 'map_lookup_elem', 'redirect', 'csum_diff']",[],[],[],[],0,0,0,4,0,0,0,0
callee,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hc_encap_ipip,[],[],[],[],[],[],['bpf_map_lookup_elem'],[],0,0,0,0,0,0,1,0
tail_srv6_encap,[],[],[],"['map_lookup_elem', 'map_update_elem', 'xdp_adjust_head', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
ipv4_load_daddr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswahw32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
healthcheck_encap,[],[],[],[],[],[],"['bpf_redirect', 'bpf_map_lookup_elem', 'TC_ACT_UNSPEC', 'TC_ACT_SHOT']",[],0,0,0,0,0,0,4,0
jhash_2words,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_host,[],[],[],"['CTX_ACT_OK', 'XDP_TX', 'map_lookup_elem', 'redirect', 'tail_call', 'fib_lookup', 'csum_diff', 'bpf_fib_lookup', 'map_update_elem']",[],[],[],[],0,0,0,9,0,0,0,0
__revalidate_data_pull,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_sockmap,[],[],[],"['map_lookup_elem', 'sock_hash_update', 'redirect', 'CTX_ACT_OK']",[],[],[],[],0,0,0,4,0,0,0,0
